Região,UF,IBGE,Município,População*,Domicílios com a TRIA aplicada,Domicílios em risco de insegurança alimentar,% Domicílios em risco de insegurança alimentar,Pessoas em domicílios em risco de insegurança alimentar,Domicílios em risco de insegurança alimentar com pessoas com deficiência,% de domicílios em risco de insegurança alimentar com pessoas com deficiência,Domicílios em risco de insegurança alimentar com pessoas em situação de rua,% de domicílios em risco de insegurança alimentar com pessoas em situação de rua,Domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional,% de domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional,Domicílios em risco de insegurança alimentar com pessoas menores de 18 anos,% de domicílios em risco de insegurança alimentar com pessoas menores de 18 anos,Domicílios em risco de insegurança alimentar com RF respondente do sexo feminino,% de domicílios em risco de insegurança alimentar com RF respondente do sexo feminino,Domicílios em risco de insegurança alimentar com RF respondente do sexo masculino,% de domicílios em risco de insegurança alimentar com RF respondente do sexo masculino,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado pardo,% de domicílios com RF respondente autodeclarado pardo,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado branco,% de domicílios com RF respondente autodeclarado branco,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado amarelo,% de domicílios com RF respondente autodeclarado amarelo,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado preto,% de domicílios com RF respondente autodeclarado preto,Domicílios em risco de insegurança alimentar com RF respondente autodeclarado indígena,% de domicílios com RF respondente autodeclarado indígena,Competência
NORTE,AC,120042.0,RODRIGUES ALVES,15560.0,1615.0,97.0,6.0,393.0,11.0,11.3,0.0,0.0,2.0,2.1,76.0,78.4,57.0,72.2,22.0,27.8,58.0,73.4,14.0,17.7,1.0,1.3,6.0,7.6,0.0,0.0,nov/2023 a abr/2026
NORTE,AC,120043.0,SANTA ROSA DO PURUS,7217.0,398.0,61.0,15.3,395.0,7.0,11.5,0.0,0.0,35.0,57.4,55.0,90.2,31.0,62.0,19.0,38.0,24.0,48.0,2.0,4.0,0.0,0.0,0.0,0.0,24.0,48.0,nov/2023 a abr/2026
NORTE,AC,120050.0,SENA MADUREIRA,44049.0,5584.0,208.0,3.7,713.0,25.0,12.0,0.0,0.0,3.0,1.4,150.0,72.1,110.0,60.8,71.0,39.2,161.0,89.0,11.0,6.1,2.0,1.1,5.0,2.8,2.0,1.1,nov/2023 a abr/2026
NORTE,AC,120045.0,SENADOR GUIOMARD,22402.0,4874.0,161.0,3.3,566.0,25.0,15.5,1.0,0.6,4.0,2.5,108.0,67.1,86.0,61.4,54.0,38.6,109.0,77.9,15.0,10.7,2.0,1.4,13.0,9.3,1.0,0.7,nov/2023 a abr/2026
NORTE,AC,120060.0,TARAUACA,46816.0,8142.0,3367.0,41.4,13544.0,565.0,16.8,2.0,0.1,34.0,1.0,2485.0,73.8,2000.0,67.1,982.0,32.9,2486.0,83.4,274.0,9.2,48.0,1.6,141.0,4.7,33.0,1.1,nov/2023 a abr/2026
NORTE,AC,120070.0,XAPURI,19170.0,3642.0,269.0,7.4,971.0,53.0,19.7,0.0,0.0,101.0,37.5,178.0,66.2,144.0,62.6,86.0,37.4,187.0,81.3,23.0,10.0,6.0,2.6,14.0,6.1,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270010.0,AGUA BRANCA,19550.0,3983.0,155.0,3.9,481.0,22.0,14.2,1.0,0.6,91.0,58.7,61.0,39.4,47.0,33.8,92.0,66.2,135.0,97.1,3.0,2.2,0.0,0.0,1.0,0.7,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270020.0,ANADIA,14167.0,4805.0,256.0,5.3,861.0,48.0,18.8,0.0,0.0,2.0,0.8,144.0,56.2,134.0,54.3,113.0,45.7,172.0,69.6,48.0,19.4,3.0,1.2,24.0,9.7,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270030.0,ARAPIRACA,243906.0,44270.0,2164.0,4.9,7130.0,358.0,16.5,114.0,5.3,19.0,0.9,1118.0,51.7,1494.0,75.7,480.0,24.3,1503.0,76.1,315.0,16.0,32.0,1.6,124.0,6.3,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270040.0,ATALAIA,38480.0,11824.0,674.0,5.7,2349.0,96.0,14.2,0.0,0.0,2.0,0.3,403.0,59.8,358.0,61.4,225.0,38.6,405.0,69.5,99.0,17.0,3.0,0.5,76.0,13.0,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270050.0,BARRA DE SANTO ANTONIO,16756.0,3047.0,303.0,9.9,1168.0,77.0,25.4,1.0,0.3,1.0,0.3,180.0,59.4,211.0,77.0,63.0,23.0,218.0,79.6,21.0,7.7,6.0,2.2,29.0,10.6,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270060.0,BARRA DE SAO MIGUEL,8123.0,2836.0,454.0,16.0,1626.0,45.0,9.9,0.0,0.0,0.0,0.0,263.0,57.9,267.0,76.1,84.0,23.9,302.0,86.0,37.0,10.5,1.0,0.3,11.0,3.1,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270070.0,BATALHA,17103.0,5238.0,229.0,4.4,795.0,38.0,16.6,1.0,0.4,5.0,2.2,138.0,60.3,169.0,84.1,32.0,15.9,146.0,72.6,29.0,14.4,0.0,0.0,26.0,12.9,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270080.0,BELEM,4819.0,2016.0,357.0,17.7,1059.0,50.0,14.0,0.0,0.0,3.0,0.8,168.0,47.1,205.0,61.6,128.0,38.4,196.0,58.9,121.0,36.3,1.0,0.3,15.0,4.5,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270090.0,BELO MONTE,5895.0,2223.0,75.0,3.4,272.0,13.0,17.3,0.0,0.0,0.0,0.0,43.0,57.3,33.0,51.6,31.0,48.4,57.0,89.1,4.0,6.2,0.0,0.0,3.0,4.7,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270100.0,BOCA DA MATA,21479.0,6719.0,385.0,5.7,1359.0,46.0,11.9,0.0,0.0,0.0,0.0,222.0,57.7,245.0,77.3,72.0,22.7,267.0,84.2,24.0,7.6,0.0,0.0,26.0,8.2,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270110.0,BRANQUINHA,9779.0,2958.0,177.0,6.0,606.0,20.0,11.3,0.0,0.0,1.0,0.6,96.0,54.2,93.0,56.0,73.0,44.0,119.0,71.7,26.0,15.7,5.0,3.0,16.0,9.6,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270120.0,CACIMBINHAS,10705.0,2202.0,304.0,13.8,1013.0,37.0,12.2,0.0,0.0,6.0,2.0,159.0,52.3,144.0,53.9,123.0,46.1,219.0,82.0,26.0,9.7,1.0,0.4,21.0,7.9,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270130.0,CAJUEIRO,16572.0,4825.0,224.0,4.6,805.0,31.0,13.8,0.0,0.0,0.0,0.0,128.0,57.1,94.0,49.7,95.0,50.3,153.0,81.0,25.0,13.2,0.0,0.0,11.0,5.8,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270135.0,CAMPESTRE,6808.0,1784.0,17.0,1.0,56.0,4.0,23.5,0.0,0.0,0.0,0.0,9.0,52.9,9.0,69.2,4.0,30.8,12.0,92.3,0.0,0.0,0.0,0.0,1.0,7.7,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270140.0,CAMPO ALEGRE,32558.0,10715.0,683.0,6.4,2546.0,65.0,9.5,2.0,0.3,7.0,1.0,421.0,61.6,493.0,82.9,102.0,17.1,495.0,83.2,55.0,9.2,3.0,0.5,42.0,7.1,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270150.0,CAMPO GRANDE,8285.0,2900.0,27.0,0.9,111.0,4.0,14.8,0.0,0.0,0.0,0.0,17.0,63.0,4.0,18.2,18.0,81.8,19.0,86.4,2.0,9.1,0.0,0.0,1.0,4.5,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270160.0,CANAPI,15730.0,5169.0,274.0,5.3,912.0,42.0,15.3,0.0,0.0,1.0,0.4,173.0,63.1,172.0,71.1,70.0,28.9,206.0,85.1,22.0,9.1,7.0,2.9,7.0,2.9,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270170.0,CAPELA,15051.0,4509.0,728.0,16.1,2580.0,64.0,8.8,1.0,0.1,6.0,0.8,482.0,66.2,497.0,71.7,196.0,28.3,599.0,86.4,44.0,6.3,21.0,3.0,29.0,4.2,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270180.0,CARNEIROS,9206.0,1976.0,198.0,10.0,790.0,28.0,14.1,0.0,0.0,21.0,10.6,134.0,67.7,129.0,75.9,41.0,24.1,150.0,88.2,16.0,9.4,1.0,0.6,3.0,1.8,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270190.0,CHA PRETA,6000.0,1692.0,121.0,7.2,396.0,8.0,6.6,0.0,0.0,0.0,0.0,78.0,64.5,76.0,66.1,39.0,33.9,58.0,50.4,24.0,20.9,0.0,0.0,33.0,28.7,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270200.0,COITE DO NOIA,11036.0,759.0,2.0,0.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,100.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270210.0,COLONIA LEOPOLDINA,15915.0,4776.0,154.0,3.2,608.0,18.0,11.7,0.0,0.0,0.0,0.0,93.0,60.4,86.0,66.2,44.0,33.8,100.0,76.9,26.0,20.0,0.0,0.0,5.0,3.8,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270220.0,COQUEIRO SECO,5701.0,2077.0,188.0,9.1,650.0,25.0,13.3,1.0,0.5,6.0,3.2,94.0,50.0,81.0,50.9,78.0,49.1,113.0,71.1,21.0,13.2,6.0,3.8,19.0,11.9,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270230.0,CORURIPE,51784.0,14743.0,355.0,2.4,1224.0,41.0,11.5,2.0,0.6,3.0,0.8,208.0,58.6,203.0,67.4,98.0,32.6,247.0,82.1,23.0,7.6,1.0,0.3,30.0,10.0,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270235.0,CRAIBAS,26144.0,9249.0,939.0,10.2,3194.0,77.0,8.2,0.0,0.0,8.0,0.9,533.0,56.8,686.0,82.4,147.0,17.6,736.0,88.4,55.0,6.6,2.0,0.2,40.0,4.8,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270240.0,DELMIRO GOUVEIA,52845.0,10467.0,603.0,5.8,2052.0,110.0,18.2,0.0,0.0,14.0,2.3,363.0,60.2,400.0,77.2,118.0,22.8,385.0,74.3,86.0,16.6,3.0,0.6,43.0,8.3,1.0,0.2,nov/2023 a abr/2026
NORDESTE,AL,270250.0,DOIS RIACHOS,9898.0,3503.0,265.0,7.6,861.0,61.0,23.0,0.0,0.0,13.0,4.9,161.0,60.8,187.0,77.9,53.0,22.1,232.0,96.7,2.0,0.8,0.0,0.0,6.0,2.5,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270255.0,ESTRELA DE ALAGOAS,15688.0,5505.0,1054.0,19.1,3067.0,73.0,6.9,2.0,0.2,6.0,0.6,512.0,48.6,616.0,61.2,391.0,38.8,780.0,77.5,179.0,17.8,3.0,0.3,45.0,4.5,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270260.0,FEIRA GRANDE,23204.0,3925.0,179.0,4.6,569.0,12.0,6.7,0.0,0.0,0.0,0.0,95.0,53.1,114.0,67.9,54.0,32.1,130.0,77.4,30.0,17.9,4.0,2.4,4.0,2.4,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270270.0,FELIZ DESERTO,4035.0,1421.0,58.0,4.1,177.0,11.0,19.0,0.0,0.0,0.0,0.0,30.0,51.7,40.0,72.7,15.0,27.3,37.0,67.3,8.0,14.5,3.0,5.5,7.0,12.7,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270280.0,FLEXEIRAS,9745.0,2792.0,425.0,15.2,1393.0,37.0,8.7,0.0,0.0,0.0,0.0,240.0,56.5,283.0,71.8,111.0,28.2,334.0,84.8,28.0,7.1,11.0,2.8,21.0,5.3,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270290.0,GIRAU DO PONCIANO,37337.0,5320.0,172.0,3.2,614.0,12.0,7.0,0.0,0.0,2.0,1.2,103.0,59.9,94.0,57.7,69.0,42.3,125.0,76.7,13.0,8.0,16.0,9.8,9.0,5.5,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270300.0,IBATEGUARA,13982.0,5063.0,286.0,5.6,969.0,39.0,13.6,0.0,0.0,3.0,1.0,157.0,54.9,140.0,53.0,124.0,47.0,189.0,71.6,60.0,22.7,2.0,0.8,13.0,4.9,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270310.0,IGACI,24445.0,8387.0,691.0,8.2,2231.0,77.0,11.1,0.0,0.0,30.0,4.3,364.0,52.7,417.0,66.0,215.0,34.0,555.0,87.8,63.0,10.0,1.0,0.2,13.0,2.1,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270320.0,IGREJA NOVA,22113.0,6983.0,604.0,8.6,2025.0,147.0,24.3,0.0,0.0,19.0,3.1,345.0,57.1,193.0,34.8,361.0,65.2,369.0,66.6,85.0,15.3,10.0,1.8,90.0,16.2,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270330.0,INHAPI,15396.0,5771.0,208.0,3.6,739.0,32.0,15.4,0.0,0.0,10.0,4.8,129.0,62.0,150.0,82.9,31.0,17.1,151.0,83.4,23.0,12.7,0.0,0.0,3.0,1.7,4.0,2.2,nov/2023 a abr/2026
NORDESTE,AL,270340.0,JACARE DOS HOMENS,5180.0,2008.0,168.0,8.4,641.0,23.0,13.7,0.0,0.0,73.0,43.5,99.0,58.9,109.0,69.0,49.0,31.0,129.0,81.6,5.0,3.2,0.0,0.0,24.0,15.2,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270350.0,JACUIPE,5419.0,1610.0,495.0,30.7,1666.0,68.0,13.7,0.0,0.0,4.0,0.8,298.0,60.2,233.0,49.8,235.0,50.2,376.0,80.3,37.0,7.9,14.0,3.0,41.0,8.8,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270360.0,JAPARATINGA,9457.0,2783.0,31.0,1.1,119.0,1.0,3.2,1.0,3.2,10.0,32.3,24.0,77.4,19.0,73.1,7.0,26.9,15.0,57.7,4.0,15.4,1.0,3.8,6.0,23.1,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270370.0,JARAMATAIA,5069.0,1712.0,7.0,0.4,42.0,1.0,14.3,0.0,0.0,0.0,0.0,7.0,100.0,3.0,75.0,1.0,25.0,3.0,75.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270375.0,JEQUIA DA PRAIA,9607.0,3703.0,307.0,8.3,1048.0,31.0,10.1,0.0,0.0,2.0,0.7,168.0,54.7,181.0,69.3,80.0,30.7,167.0,64.0,57.0,21.8,1.0,0.4,36.0,13.8,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270380.0,JOAQUIM GOMES,17342.0,5157.0,305.0,5.9,1154.0,38.0,12.5,0.0,0.0,3.0,1.0,190.0,62.3,177.0,70.0,76.0,30.0,194.0,76.7,43.0,17.0,3.0,1.2,13.0,5.1,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270390.0,JUNDIA,4175.0,1420.0,308.0,21.7,981.0,35.0,11.4,0.0,0.0,25.0,8.1,175.0,56.8,190.0,67.6,91.0,32.4,231.0,82.2,34.0,12.1,1.0,0.4,15.0,5.3,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270400.0,JUNQUEIRO,24382.0,7029.0,245.0,3.5,823.0,23.0,9.4,0.0,0.0,1.0,0.4,133.0,54.3,101.0,47.2,113.0,52.8,179.0,83.6,24.0,11.2,0.0,0.0,11.0,5.1,0.0,0.0,nov/2023 a abr/2026
NORDESTE,AL,270410.0,LAGOA DA CANOA,18836.0,4984.0,1.0,0.0,5.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nov/2023 a abr/2026
