"Região","UF","IBGE","Município","População*","Domicílios com a TRIA aplicada","Domicílios em risco de insegurança alimentar","% Domicílios em risco de insegurança alimentar","Pessoas em domicílios em risco de insegurança alimentar","Domicílios em risco de insegurança alimentar com pessoas com deficiência","% de domicílios em risco de insegurança alimentar com pessoas com deficiência","Domicílios em risco de insegurança alimentar com pessoas em situação de rua","% de domicílios em risco de insegurança alimentar com pessoas em situação de rua","Domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional","% de domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional","Domicílios em risco de insegurança alimentar com pessoas menores de 18 anos","% de domicílios em risco de insegurança alimentar com pessoas menores de 18 anos","Domicílios em risco de insegurança alimentar com RF respondente do sexo feminino","% de domicílios em risco de insegurança alimentar com RF respondente do sexo feminino","Domicílios em risco de insegurança alimentar com RF respondente do sexo masculino","% de domicílios em risco de insegurança alimentar com RF respondente do sexo masculino","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado pardo","% de domicílios com RF respondente autodeclarado pardo","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado branco","% de domicílios com RF respondente autodeclarado branco","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado amarelo","% de domicílios com RF respondente autodeclarado amarelo","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado preto","% de domicílios com RF respondente autodeclarado preto","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado indígena","% de domicílios com RF respondente autodeclarado indígena","Competência"
"NORTE","AM","130030","AUTAZES","45960","6763","1027","15.2","3727","88","8.6","0","0","250","24.3","658","64.1","518","56","407","44","614","66.4","44","4.8","10","1.1","23","2.5","234","25.3","nov/2023 a abr/2026"
"NORTE","AM","130040","BARCELOS","18210","4055","1426","35.2","4827","163","11.4","7","0.5","191","13.4","878","61.6","761","56.7","581","43.3","754","56.2","27","2","3","0.2","13","1","545","40.6","nov/2023 a abr/2026"
"NORTE","AM","130050","BARREIRINHA","33722","6118","1857","30.4","7168","250","13.5","2","0.1","741","39.9","1241","66.8","1105","65.6","579","34.4","1191","70.7","42","2.5","8","0.5","216","12.8","227","13.5","nov/2023 a abr/2026"
"NORTE","AM","130060","BENJAMIN CONSTANT","40908","6573","713","10.8","2994","91","12.8","1","0.1","11","1.5","503","70.5","385","67.1","189","32.9","525","91.5","14","2.4","1","0.2","7","1.2","27","4.7","nov/2023 a abr/2026"
"NORTE","AM","130063","BERURI","22495","4852","2236","46.1","9412","203","9.1","3","0.1","238","10.6","1624","72.6","1093","52.9","974","47.1","2000","96.8","12","0.6","4","0.2","9","0.4","43","2.1","nov/2023 a abr/2026"
"NORTE","AM","130068","BOA VISTA DO RAMOS","26479","4080","950","23.3","3772","113","11.9","0","0","683","71.9","630","66.3","455","57.4","338","42.6","776","97.9","4","0.5","2","0.3","1","0.1","10","1.3","nov/2023 a abr/2026"
"NORTE","AM","130070","BOCA DO ACRE","38792","5190","212","4.1","803","25","11.8","2","0.9","8","3.8","142","67","84","47.7","92","52.3","158","89.8","12","6.8","0","0","5","2.8","1","0.6","nov/2023 a abr/2026"
"NORTE","AM","130080","BORBA","34869","5900","924","15.7","3868","85","9.2","2","0.2","150","16.2","598","64.7","517","66.9","256","33.1","735","95.1","10","1.3","8","1","7","0.9","13","1.7","nov/2023 a abr/2026"
"NORTE","AM","130083","CAAPIRANGA","14806","3128","875","28","3339","71","8.1","0","0","66","7.5","604","69","338","45.7","402","54.3","718","97","11","1.5","0","0","10","1.4","1","0.1","nov/2023 a abr/2026"
"NORTE","AM","130090","CANUTAMA","18109","191","22","11.5","102","0","0","0","0","1","4.5","19","86.4","9","81.8","2","18.2","9","81.8","2","18.2","0","0","0","0","0","0","nov/2023 a abr/2026"
